TRAT,RIQ,ABUND,H',SISTEMA,FRAG
1CSER 25,2,4,0.6931,CON,75
1CSER 25,4,10,0.9404,CON,75
1CSER 25,6,17,1.316,CON,75
1CSER 25,4,6,1.33,CON,75
1CSER 25,1,4,0,CON,75
1CSER 25,5,12,1.314,CON,75
1CSER 25,2,6,0.6365,CON,75
1CSER 25,3,4,1.04,CON,75
1CSER 25,2,2,0.6931,CON,75
1OANGA 3 40,4,8,1.321,ORG,60
1OANGA 3 40,4,6,1.33,ORG,60
1OANGA 3 40,4,4,1.386,ORG,60
1OANGA 3 40,1,1,0,ORG,60
1OANGA 3 40,5,10,1.557,ORG,60
1OANGA 3 40,8,16,1.836,ORG,60
1OANGA 3 40,10,19,2.083,ORG,60
1OANGA 3 40,5,11,1.414,ORG,60
1OANGA 3 40,6,6,1.792,ORG,60
1OANGA 3 40,7,12,1.792,ORG,60
1CCER 60,6,13,1.586,CON,40
1CCER 60,4,7,1.154,CON,40
1CCER 60,6,8,1.667,CON,40
1CCER 60,9,20,1.916,CON,40
1CCER 60,3,8,0.9743,CON,40
1CCER 60,6,13,1.525,CON,40
1CCER 60,8,19,1.79,CON,40
1CCER 60,6,12,1.633,CON,40
1CCER 60,5,10,1.359,CON,40
1ODUT 60,8,14,2.008,ORG,40
1ODUT 60,10,23,2.137,ORG,40
1ODUT 60,9,25,1.89,ORG,40
1ODUT 60,12,30,2.179,ORG,40
1ODUT 60,12,22,2.335,ORG,40
1ODUT 60,7,15,1.507,ORG,40
1ODUT 60,5,13,1.525,ORG,40
1ODUT 60,7,26,1.577,ORG,40
1ODUT 60,5,6,1.561,ORG,40
1ODUT 60,7,17,1.875,ORG,40
1ODUT 50,1,4,0,ORG,50
1ODUT 50,9,20,1.968,ORG,50
1ODUT 50,4,5,1.332,ORG,50
1ODUT 50,5,10,1.471,ORG,50
1ODUT 50,5,8,1.56,ORG,50
1ODUT 50,2,3,0.6365,ORG,50
1ODUT 50,3,4,1.04,ORG,50
1ODUT 50,9,14,2.069,ORG,50
1ODUT 50,5,11,1.295,ORG,50
1ODUT 50,9,14,2.045,ORG,50
1OCER 60,6,32,0.8643,ORG,40
1OCER 60,7,38,1.153,ORG,40
1OCER 60,6,35,1.345,ORG,40
1OCER 60,5,19,1.43,ORG,40
1OCER 60,5,33,0.8741,ORG,40
1OCER 60,6,15,1.617,ORG,40
1OCER 60,6,10,1.696,ORG,40
1OCER 60,7,13,1.778,ORG,40
1OCER 60,10,30,2.107,ORG,40
1OCER 60,8,18,1.875,ORG,40
1OBVII 30,7,15,1.841,ORG,70
1OBVII 30,10,22,2.07,ORG,70
1OBVII 30,11,22,2.213,ORG,70
1OBVII 30,10,24,2.128,ORG,70
1OBVII 30,11,39,1.825,ORG,70
1OBVII 30,10,31,1.94,ORG,70
1OBVII 30,7,13,1.778,ORG,70
1OBVII 30,11,28,2.122,ORG,70
1OBVII 30,9,23,1.907,ORG,70
1OBVII 30,6,10,1.696,ORG,70
1OBVII 60,8,20,1.93,ORG,40
1OBVII 60,6,18,1.565,ORG,40
1OBVII 60,10,39,1.999,ORG,40
1OBVII 60,10,15,2.211,ORG,40
1OBVII 60,9,19,2.01,ORG,40
1OBVII 60,6,13,1.605,ORG,40
1OBVII 60,4,7,1.352,ORG,40
1OBVII 60,8,19,1.913,ORG,40
1OBVII 60,6,15,1.529,ORG,40
1CCER 90,5,7,1.475,CON,10
1CCER 90,7,7,1.946,CON,10
1CCER 90,4,9,1.215,CON,10
1CCER 90,6,18,1.351,CON,10
1CCER 90,6,24,1.384,CON,10
1CCER 90,2,5,0.5004,CON,10
1CCER 90,5,21,1.279,CON,10
1CCER 90,3,13,0.536,CON,10
1CCER 90,9,47,1.652,CON,10
1CCER 90,8,22,1.727,CON,10
1OBVI 80,9,12,2.138,ORG,20
1OBVI 80,7,14,1.871,ORG,20
1OBVI 80,6,11,1.673,ORG,20
1OBVI 80,6,13,1.672,ORG,20
1OBVI 80,7,16,1.527,ORG,20
1OBVI 80,5,10,1.359,ORG,20
1OBVI 80,9,17,1.952,ORG,20
1OBVI 80,9,11,2.146,ORG,20
1OBVI 80,6,11,1.72,ORG,20
1OBVI 80,8,13,1.885,ORG,20
1CBAN 40,6,7,1.748,CON,60
1CBAN 40,4,14,1.233,CON,60
1CBAN 40,5,16,1.037,CON,60
1CBAN 40,5,6,1.561,CON,60
1CBAN 40,4,10,1.168,CON,60
1CBAN 40,10,33,1.989,CON,60
1CBAN 40,11,86,1.966,CON,60
1CBAN 40,5,26,1.321,CON,60
1CBAN 40,7,30,1.653,CON,60
1OCER 90,5,9,1.427,ORG,10
1OCER 90,7,14,1.748,ORG,10
1OCER 90,7,19,1.589,ORG,10
1OCER 90,8,27,1.637,ORG,10
1OCER 90,6,32,1.39,ORG,10
1OCER 90,6,11,1.642,ORG,10
1OCER 90,6,13,1.672,ORG,10
1OCER 90,10,22,2.022,ORG,10
1OCER 90,7,11,1.894,ORG,10
1OCER 90,1,1,0,ORG,10
1OMAT,6,6,1.792,SAF,100
1OMAT,6,9,1.677,SAF,100
1OMAT,5,5,1.609,SAF,100
1OMAT,3,6,1.011,SAF,100
1OMAT,5,8,1.494,SAF,100
1MBANCON,5,6,1.561,MCONB,
1MBANCON,4,6,1.33,MCONB,
1MBANCON,5,5,1.609,MCONB,
1MDUAN,4,9,1.149,MORGA,
1MDUAN,2,2,0.6931,MORGA,
1MDUAN,4,4,1.386,MORGA,
1MDUAN,5,6,1.561,MORGA,
1MDUAN,6,15,1.617,MORGA,
1MCERCON,7,8,1.906,MCONC,
1MCERCON,8,19,1.955,MCONC,
1MCERCON,8,11,1.972,MCONC,
1MCERCON,2,2,0.6931,MCONC,
1MCERCON,7,10,1.887,MCONC,
1MCERORG,5,8,1.494,MORGC,
1MCERORG,5,11,1.468,MORGC,
1MCERORG,3,8,0.7356,MORGC,
1MCERORG,4,4,1.386,MORGC,
1MCERORG,5,6,1.561,MORGC,
1MDUT,6,15,1.617,MORGD,
1MDUT,9,17,2.069,MORGD,
1MDUT,5,10,1.418,MORGD,
1MDUT,2,2,0.6931,MORGD,
1MDUT,6,10,1.696,MORGD,
